date,ntl_mean,ntl_sum
2012-03-06,1.5247705330910395,82488.56106969215
2012-03-07,1.06503329083338,57617.23600079502
2012-03-08,1.2401670074404296,67091.7949355198
2012-03-09,1.3476736522268258,72907.79691181905
2012-03-11,1.3178357300780974,71293.59516149499
2012-03-12,1.1475229351162037,62079.8432668515
2012-03-13,1.2572503419837593,68015.98625097939
2012-03-14,1.5682264072532073,84839.48040599126
2012-03-15,2.510285860208146,135803.9547514005
2012-03-16,1.9449894648020272,105221.98505632486
2012-03-17,1.5430657693287118,83478.31505491398
2012-03-18,1.5229777394759136,82391.57272790745
2012-03-19,1.8062229572293802,97714.85576315224
2012-03-20,2.751960225478746,148878.29623817466
2012-03-21,2.281186847763749,123409.92727717105
2012-03-22,1.590674280879908,86053.88792132214
2012-03-23,1.3293249275622867,71915.14925619215
2012-03-27,1.6683973115617783,90258.62615818065
2012-03-29,1.476371279994695,79870.20987643301
2012-03-30,1.978594532920742,107039.98563647922
2012-03-31,2.6920083650926157,145634.96054314543
2012-04-01,1.8709451421905692,101216.2612473676
2012-04-02,1.5505912839350924,83885.43786960456
2012-04-03,1.580434338428177,85499.91727462594
2012-04-04,1.7824832754145246,96430.56271665037
2012-04-05,1.7381906950787098,94034.37841306312
2012-04-06,1.481563129789296,80151.08375847113
2012-04-07,1.2671732026735507,68552.80309143642
2012-04-08,1.223700097318978,66200.9515648594
2012-04-09,1.3473962635871395,72892.79046380066
2012-04-10,1.527768382434212,82650.74172130844
2012-04-11,1.8163441767087087,98262.40361576443
2012-04-12,1.5544289546283394,84093.05201643854
2012-04-13,1.4499003761018372,78438.1604467333
2012-04-14,1.6550024400723193,89533.9770054724
2012-04-15,1.8580339105273906,100517.7765256213
2012-04-16,2.2663460231490915,122607.0535063427
2012-04-17,1.8948825914938487,102511.25331722572
2012-04-18,1.695849935572127,91743.7856645165
2012-04-19,1.4699023036541639,79520.24472538661
2012-04-20,1.8706254784716083,101198.96775983553
2012-04-21,2.5426733438795255,137556.08523053845
2012-04-22,1.9002501409007864,102801.63237259164
2012-04-23,1.7666278102515962,95572.7979068011
2012-04-24,1.6792789019691636,90847.30931762978
2012-04-25,1.7940211322872452,97054.74923560768
2012-04-26,1.821817906508307,98558.5269241929
2012-04-27,1.8195412327798515,98435.36115215719
2012-04-28,1.8249099627054552,98725.80407240242
2012-04-29,1.8191037559985959,98411.69409576803
2012-04-30,1.6492133164287823,89220.7912054807
2012-05-01,1.8874588775645635,102109.63781736532
2012-05-02,2.5368907019727627,137243.2500860245
2012-05-03,1.4829586156720371,80226.57814924154
2012-05-04,1.410470620823855,76305.05011594974
2012-05-05,1.0815896149730018,58512.916580424426
2012-05-06,1.1208335160805338,60635.9723864408
2012-05-07,1.4479242515168078,78331.25408280779
2012-05-08,1.4536354631386648,78640.22492033863
2012-05-09,1.4773791501667934,79924.73464487336
2012-05-10,1.4116181365578557,76367.12956964344
2012-05-11,1.4828713775808517,80221.8586557465
2012-05-12,1.7877154701081863,96713.61921738277
2012-05-13,2.273745227335102,123007.34305360168
2012-05-14,1.865926903620888,100944.77955898643
2012-05-15,1.4531588610150123,78614.44122205116
2012-05-16,1.6191852214602793,87596.30129577965
2012-05-17,1.8456780888632143,99849.33892941102
2012-05-18,2.0675887623729827,111854.48445561598
2012-05-19,1.9065293726538173,103141.33253119886
2012-05-20,1.5929375893162772,86176.33064442128
2012-05-21,1.7597101582318733,95198.55985018611
2012-05-22,1.7605152458203015,95242.11428363249
2012-05-23,1.7620505939933386,95325.17508444563
2012-05-24,1.761834710846946,95313.49602210894
2012-05-25,1.6760620337586496,90673.27996430919
2012-05-26,1.4365615404956522,77716.54277927428
2012-05-27,1.6430431780352475,88886.99288852885
2012-05-28,1.7910368313673781,96893.30154014379
2012-05-29,1.7236519663902687,93247.84772974715
2012-05-30,1.6277719467312535,88060.83454621409
2012-05-31,1.6607779136473744,89846.4243504093
2012-06-01,1.4706809876597375,79562.37075140415
2012-06-02,1.6622537807337252,89926.2672839138
2012-06-03,1.500013496134461,81149.2301273782
2012-06-04,1.1719905729682956,63403.51800701182
2012-06-05,1.1871757642810692,64225.02167184156
2012-06-06,1.3628537663368918,73729.0259050595
2012-06-07,1.4274173181789904,77221.8494961652
